ENSG_ID	c_12h_rep2	c_12h_rep1	c_24h_rep2	c_24h_rep1	t_12h_rep1	t_12h_rep2	t_24h_rep1	t_24h_rep2
ENSG00000151778	2.732461097	3.261368827	3.003866323	3.248511201	2.877529484	3.24942399	3.173468632	3.149249408
ENSG00000151779	5.274604096	5.252757136	5.27960043	5.260247242	5.11461002	5.257365551	5.200660781	5.338589898
ENSG00000151789	3.435112548	3.381398176	3.261987122	3.333922356	3.362857551	3.434503077	3.416345107	3.35741081
ENSG00000151790	2.623529554	2.520764742	2.703959624	2.649601234	2.894362285	2.68938647	2.454077147	2.764532827
ENSG00000151806	5.409947886	4.809672699	5.312044081	5.388539797	5.717463848	5.734830349	5.805147352	5.665044107
ENSG00000151812	2.520464753	2.71359742	2.622907382	2.642262435	2.525255324	2.566124951	2.536351219	2.5665737
ENSG00000151834	2.605030162	2.468106786	2.486834036	2.49936977	2.465765963	2.382774378	2.502759858	2.417958681
ENSG00000151835	5.290690158	5.301125855	5.773083153	5.89817769	6.622831362	6.614126513	6.651697236	6.558635521
ENSG00000151846	11.04104766	10.79486757	10.76965126	10.94661549	10.70346415	10.85535861	10.58851999	10.55519604
ENSG00000151849	5.320838809	5.056463786	5.332155924	5.450017911	5.611586627	5.6287669	5.811494238	5.925933285
ENSG00000151876	5.167022583	5.194165301	5.240348856	5.217227246	5.32551553	5.259608348	5.327518646	5.309984854
ENSG00000151881	9.290668667	9.252907744	9.089941399	9.21610356	9.259633187	9.339599256	9.126965425	9.001394729
ENSG00000151882	5.789753788	5.923865364	5.976012548	5.986420941	5.528157759	5.601457008	5.390352572	5.465941297
ENSG00000151883	4.471351407	4.294699917	4.432755209	4.497555737	3.906465787	4.000799681	4.02730301	4.211122596
ENSG00000151892	7.027113928	7.04361881	7.363868475	7.606527298	7.497567769	7.56496493	7.869105274	8.060830815
ENSG00000151893	6.723895893	6.527837035	6.612732133	6.775351996	6.649396998	6.674606757	6.712954803	6.829731304
ENSG00000151914	5.695861053	5.694883	5.74156983	5.821178639	5.719162956	5.673549487	5.7496574	5.84656545
